Bešeňová,Ružomberok,Žilinský,388
Betlanovce,Spišská Nová Ves,Košický,660
Betliar,Rožňava,Košický,948
Bežovce,Sobrance,Košický,989
Bidovce,Košice - okolie,Košický,"1,199"
Biel,Trebišov,Košický,"1,452"
Bielovce,Levice,Nitriansky,243
Biely Kostol,Trnava,Trnavský,"1,228"
Bijacovce,Levoča,Prešovský,860
Bílkove Humence,Senica,Trnavský,216
Bíňa,Nové Zámky,Nitriansky,"1,452"
Bíňovce,Trnava,Trnavský,667
Biskupice,Lučenec,Banskobystrický,"1,146"
Biskupová,Topoľčany,Nitriansky,243
Bitarová,Žilina,Žilinský,630
Blahová,Dunajská Streda,Trnavský,382
Blatná na Ostrove,Dunajská Streda,Trnavský,846
Blatná Polianka,Sobrance,Košický,156
Blatné,Senec,Bratislavský,"1,571"
Blatné Remety,Sobrance,Košický,515
Blatné Revištia,Sobrance,Košický,221
Blatnica,Martin,Žilinský,888
Blažice,Košice - okolie,Košický,543
Blažovce,Turčianske Teplice,Žilinský,171
Blesovce,Topoľčany,Nitriansky,377
Blhovce,Rimavská Sobota,Banskobystrický,797
Bobot,Trenčín,Trenčiansky,749
Bobrov,Námestovo,Žilinský,"1,556"
Bobrovček,Liptovský Mikuláš,Žilinský,196
Bobrovec,Liptovský Mikuláš,Žilinský,"1,778"
Bobrovník,Liptovský Mikuláš,Žilinský,143
Bočiar,Košice - okolie,Košický,224
Bodíky,Dunajská Streda,Trnavský,277
Bodiná,Považská Bystrica,Trenčiansky,485
Bodorová,Turčianske Teplice,Žilinský,254
Bodovce,Sabinov,Prešovský,325
Bodružal,Svidník,Prešovský,64
Bodza,Komárno,Nitriansky,371
Bodzianske Lúky,Komárno,Nitriansky,223
Bogliarka,Bardejov,Prešovský,136
Bohdanovce,Košice - okolie,Košický,993
Bohdanovce nad Trnavou,Trnava,Trnavský,"1,105"
Boheľov,Dunajská Streda,Trnavský,353
Bohunice / okres Levice,Levice,Nitriansky,148
Bohunice / okres Ilava,Ilava,Trenčiansky,766
Bohúňovo,Rožňava,Košický,314
Bojná,Topoľčany,Nitriansky,"2,011"
Bojnice,Prievidza,Trenčiansky,"4,951"
Bojničky,Hlohovec,Trnavský,"1,373"
