093 01 Čičava (VT)
013 15 Čičmany (ZA)
946 19 Číčov (KN)
076 43 Čierna (TV)
053 33 Čierna Hora (GL)
956 53 Čierna Lehota (BN)
049 36 Čierna Lehota (RV)
076 43 Čierna nad Tisou (TV)
925 06 Čierna Voda (GA)
013 55 Čierne (BY)
023 13 Čierne (CA)
023 56 Čierne (CA)
953 05 Čierne Kľačany (ZM)
094 34 Čierne nad Topľou (VT)
079 01 Čierne Pole (MI)
976 52 Čierny Balog (BR)
925 08 Čierny Brod (GA)
946 03 Čierny Chrbát (KN)
980 31 Čierny Potok (RS)
032 33 Čierny Váh (LM)
951 61 Čifáre (NR)
941 11 Čiky (NZ)
931 01 Čilistov (DS)
930 08 Čiližská Radvaň (DS)
027 12 Čimhová (TS)
065 42 Čirč (SL)
980 43 Číž (RS)
980 43 Číž - kúpele (RS)
044 47 Čižatice (KS)
049 12 Čoltovo (RV)
039 01 Čremošné (TR)
048 01 Čučma (RV)
067 35 Čukalovce (SV)
930 51 Čukárska Paka (DS)
956 54 Čuklasovce (BN)
851 10 Čunovo (Bratislava V)
991 35 Dačov Lom (VK)
082 63 Daletice (SB)
076 12 Dancov Potok (TV)
053 22 Danišovce (SN)
076 61 Dargov (TV)
093 03 Davidov (VT)
045 01 Debraď (KS)
067 12 Dedačov (HE)
946 03 Dedina Mládeže (KN)
941 50 Dedinka (NZ)
900 29 Dedinka pri Dunaji (SC)
049 73 Dedinky (RV)
919 53 Dechtice (TT)
969 01 Dekýš (BS)
053 75 Delava (SN)
935 85 Demandice (LV)
031 01 Demänová (LM)
029 57 Demänová (NO)
032 51 Demänovská Dolina (LM)
082 13 Demjata (PO)
027 05 Demkovská (DK)
020 54 Dešná (PU)
094 31 Detrík (VT)
962 12 Detva (DT)
962 12 Detva - sídlisko (DT)
962 06 Detvianska Huta (DT)
935 04 Devičany (LV)
962 65 Devičie (KA)
841 10 Devín (Bratislava IV)
957 03 Dežerice (BN)
038 02 Diaková (MT)
925 81 Diakovce (SA)
022 01 Didka (CA)
985 53 Diel (LC)
943 42 Diva (NZ)
972 24 Diviacka Nová Ves (PD)
039 01 Diviaky (TR)
972 25 Diviaky nad Nitricou (PD)
985 52 Divín (LC)
013 31 Divina (ZA)
013 31 Divinka (ZA)
985 52 Divínske Lazy (LC)
919 01 Dlhá (TT)
085 01 Dlhá Lúka (BJ)
032 24 Dlhá Lúka (LM)
023 54 Dlhá nad Kysucou (CA)
027 55 Dlhá nad Oravou (DK)
927 05 Dlhá nad Váhom (SA)
049 55 Dlhá Ves (RV)
094 13 Dlhé Klčovo (VT)
067 82 Dlhé nad Cirochou (SV)
013 32 Dlhé Pole (ZA)
054 01 Dlhé Stráže (LE)
090 02 Dlhoňa (SK)
972 26 Dlžín (PD)
935 56 Dobogov (LV)
914 01 Dobrá (TN)
076 41 Dobrá (TV)
962 61 Dobrá Niva (ZV)
919 54 Dobrá Voda (TT)
053 61 Dobrá Voľa (SN)
094 23 Dobrianky (VT)
976 52 Dobroč (BR)
985 53 Dobroč (LC)
972 27 Dobročná (PD)
930 31 Dobrohošť (DS)
090 01 Dobroslava (SK)
985 26 Dobrý Potok (PT)
049 71 Dobšinnská Ľadová Jaskyňa (RV)
049 25 Dobšiná (RV)
049 73 Dobšinská Maša (RV)
020 51 Dohňany (PU)
906 02 Dojč (SE)
053 02 Doľany (LE)
900 88 Doľany (PK)
027 05 Dolina (DK)
082 38 Dolina (PO)
991 28 Dolinka (VK)
013 62 Dolinky (BY)
020 53 Dolinky (PU)
962 63 Dolinky (ZV)
020 61 Dolná Breznica (PU)
985 51 Dolná Bzová (DT)
919 65 Dolná Krupá (TT)
976 98 Dolná Lehota (BR)
027 41 Dolná Lehota (DK)
018 02 Dolná Mariková (PB)
974 01 Dolná Mičiná (BB)
974 01 Dolná Môlča (BB)
914 43 Dolná Poruba (TN)
930 02 Dolná Potôň (DS)
935 31 Dolná Seč (LV)
925 63 Dolná Streda (GA)
991 02 Dolná Strehová (VK)
913 32 Dolná Súča (TN)
039 01 Dolná Štubňa (TR)
013 04 Dolná Tižina (ZA)
966 21 Dolná Trnávka (ZH)
967 01 Dolná Ves (ZH)
913 33 Dolná Závrská (TN)
966 01 Dolná Ždaňa (ZH)
962 61 Dolné Breziny (ZV)
956 54 Dolné Držkovce (BN)
919 52 Dolné Dubové (TT)
966 61 Dolné Hámre (ZC)
956 31 Dolné Chlebany (TO)
930 39 Dolné Janíky (DS)
038 02 Dolné Jaseno (MT)
020 01 Dolné Kočkovce (PU)
906 15 Dolné Košariská (MY)
949 05 Dolné Krškany (NR)
951 45 Dolné Lefantovce (NR)
972 43 Dolné Lelovce (PD)
